ID,X,Y,ATTRIBUTE,WEIGHT,PREDICTION
1.0,-80.29325274,-0.193830108,0.0,1.0,0.0
2.0,-80.15387126,-0.1011331,0.0,1.0,0.0
3.0,-80.16970159,-0.09136687,0.0,1.0,0.0
5.0,-80.02489706,-0.101002301,0.0,1.0,0.0
6.0,-80.03392085,-0.129012488,0.0,1.0,0.0
7.0,-80.04730714,-0.230276637,0.0,1.0,0.0
8.0,-80.00462113,-0.339608932,0.0,1.0,0.0
9.0,-80.17110528,-0.370573507,0.0,1.0,0.0
10.0,-80.1711001,-0.305794363,0.0,1.0,0.0
12.0,-80.38578614,-0.357011066,0.0,1.0,0.0
13.0,-80.40049969,-0.443836269,0.0,1.0,0.0
14.0,-80.20181751,-0.418215898,0.0,1.0,0.0
15.0,-80.19993918,-0.389688293,0.0,1.0,0.0
16.0,-80.21940584,-0.538366069,0.0,1.0,0.0
17.0,-80.1711472,-0.536944633,0.0,1.0,0.0
18.0,-80.20093446,-0.585728095,0.0,1.0,0.0
19.0,-80.09446434,-0.57543558,0.0,1.0,0.0
20.0,-80.05331345,-0.59292784,0.0,1.0,0.0
21.0,-80.07294389,-0.641595219,0.0,1.0,0.0
22.0,-80.06653131,-0.668944736,0.0,1.0,0.0
23.0,-80.1216106,-0.687456448,0.0,1.0,0.0
24.0,-80.14325109,-0.734826979,0.0,1.0,0.0
25.0,-80.15842943,-0.739055628,0.0,1.0,0.0
26.0,-80.2285549,-0.685928527,0.0,1.0,0.0
27.0,-80.14510997,-0.681515317,0.0,1.0,0.0
28.0,-80.40494796,-0.74485186,0.0,1.0,0.0
29.0,-80.45677961,-0.71331257,0.0,1.0,0.0
31.0,-80.32055998,-0.595716766,0.0,1.0,0.0
32.0,-80.45935613,-0.978039732,0.0,1.0,0.0
33.0,-80.43302096,-0.999928856,0.0,1.0,0.0
34.0,-80.36603413,-0.967696397,0.0,1.0,0.0
35.0,-80.49971997,-0.859366492,0.0,1.0,0.0
36.0,-80.42304826,-0.869878313,0.0,1.0,0.0
37.0,-80.25311348,-0.823144714,0.0,1.0,0.0
38.0,-80.20180639,-0.780938874,0.0,1.0,0.0
39.0,-80.10711203,-0.842771593,0.0,1.0,0.0
40.0,-80.11797025,-0.925501839,0.0,1.0,0.0
41.0,-80.13736799,-0.889445412,0.0,1.0,0.0
42.0,-80.20342177,-0.905903972,0.0,1.0,0.0
43.0,-80.23014914,-0.966782521,0.0,1.0,0.0
44.0,-80.17452933,-0.986137085,0.0,1.0,0.0
45.0,-80.05398564,-0.952014288,0.0,1.0,0.0
46.0,-80.08427125,-1.033837674,0.0,1.0,0.0
47.0,-80.07724067,-1.104296346,0.0,1.0,0.0
48.0,-80.17903374,-1.058320538,0.0,1.0,0.0
49.0,-80.15500152,-1.057412091,0.0,1.0,0.0
50.0,-80.29755889,-1.049494686,0.0,1.0,0.0
51.0,-80.42524911,-1.052716351,0.0,1.0,0.0
52.0,-80.38860025,-1.090728383,0.0,1.0,0.0
