ID,X,Y,ATTRIBUTE,WEIGHT,PREDICTION
1.0,-101.57399,30.130829,1.0,1.0,0.0
2.0,-101.19541,29.337292,1.0,1.0,0.0
3.0,-100.99588,29.896132,1.0,1.0,0.0
4.0,-100.53676,25.513464,1.0,1.0,0.0
5.0,-100.49044,31.166985,1.0,1.0,0.0
6.0,-100.4533,29.61154,1.0,1.0,0.0
7.0,-100.41856,29.304888,1.0,1.0,0.0
8.0,-100.39175,25.661766,1.0,1.0,0.0
9.0,-100.3384,25.628284,1.0,1.0,0.0
10.0,-100.235825,29.47547,1.0,1.0,0.0
11.0,-100.21179,30.012032,1.0,1.0,0.0
12.0,-100.205376,30.015356,1.0,1.0,0.0
13.0,-100.17142,30.474623,1.0,1.0,0.0
14.0,-100.121605,30.47835,1.0,1.0,0.0
15.0,-100.06717,30.023401,1.0,1.0,0.0
16.0,-100.03743,29.732857,1.0,1.0,0.0
17.0,-100.03678,29.73048,1.0,1.0,0.0
18.0,-100.03644,29.729391,1.0,1.0,0.0
19.0,-100.03633,29.765766,1.0,1.0,0.0
20.0,-100.03558,29.992313,1.0,1.0,0.0
21.0,-100.03132,29.753126,1.0,1.0,0.0
22.0,-100.010445,29.537424,1.0,1.0,0.0
23.0,-99.98995,29.548996,1.0,1.0,0.0
24.0,-99.98314,29.361904,1.0,1.0,0.0
25.0,-99.971466,29.846079,1.0,1.0,0.0
26.0,-99.921684,29.754082,1.0,1.0,0.0
27.0,-99.83302,29.186993,1.0,1.0,0.0
28.0,-99.81959,29.248537,1.0,1.0,0.0
29.0,-99.81332,30.44131,1.0,1.0,0.0
30.0,-99.81286,30.439165,1.0,1.0,0.0
31.0,-99.810684,30.439508,1.0,1.0,0.0
32.0,-99.80959,30.446306,1.0,1.0,0.0
33.0,-99.80336,30.443403,1.0,1.0,0.0
34.0,-99.799736,30.434341,1.0,1.0,0.0
35.0,-99.79808,30.44661,1.0,1.0,0.0
36.0,-99.797806,30.44507,1.0,1.0,0.0
37.0,-99.79632,30.91865,1.0,1.0,0.0
38.0,-99.78866,29.187357,1.0,1.0,0.0
39.0,-99.777725,30.479189,1.0,1.0,0.0
40.0,-99.77685,30.472195,1.0,1.0,0.0
41.0,-99.771996,30.48899,1.0,1.0,0.0
42.0,-99.77028,30.486551,1.0,1.0,0.0
43.0,-99.76796,30.47422,1.0,1.0,0.0
44.0,-99.766846,30.47235,1.0,1.0,0.0
45.0,-99.76633,30.485405,1.0,1.0,0.0
46.0,-99.76521,30.485367,1.0,1.0,0.0
47.0,-99.76449,30.486385,1.0,1.0,0.0
48.0,-99.75972,29.726784,1.0,1.0,0.0
49.0,-99.75929,30.474863,1.0,1.0,0.0
50.0,-99.75903,30.48888,1.0,1.0,0.0
51.0,-99.746445,29.779465,1.0,1.0,0.0
